,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,1.19,1.47,1.26,1.01,1.19,1.12,1.46,1.50,1.45,1.41,1.49,1.47,1.79,1.66,1.76,2.02,1.82,1.64,1.81,2.01,2.28,2.83,2.72,2.53,2.99,3.47,4.76,5.45,7.01,7.82,8.50,10.88,15.00,16.05,18.84,23.53,19.51,20.48,25.00,23.33,27.91,23.96
Belize,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,60.00,100.00,60.00,75.00,80.00,66.67,66.67,50.00,50.00,55.56,33.33,33.33
Benin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Bolivia,68.75,70.59,75.00,70.59,80.00,80.00,75.00,75.00,68.42,65.00,59.09,60.87,60.87,58.33,51.85,44.83,48.39,48.48,42.86,48.65,52.63,56.41,55.00,47.62,50.00,42.55,43.14,42.86,42.86,40.68,34.38,34.78,32.88,34.21,29.63,31.03,21.59,26.09,30.85,37.00,36.73,38.68
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.97,71.88,82.93,83.72,70.83,54.12,48.39,53.92,50.00,50.00,50.00,41.28,48.36,48.76,45.31,35.40,33.80,41.06,47.88,30.07,31.11,42.86,38.06,36.67,33.73,24.05,35.14,38.65,30.82,41.86
Botswana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,94.27,93.77,94.67,95.39,94.33,94.24,92.42,93.55,94.68,94.28,94.83,95.07,94.68,95.43,95.72,94.35,93.98,93.11,93.05,90.63,90.38,84.83,86.22,87.74,86.61,87.83,87.38,88.81,85.05,89.54,85.52,87.86,83.36,77.84,74.40,75.35,81.47,80.24,83.33,83.20,85.02,75.87
British Virgin Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brunei,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bulgaria,11.38,10.23,7.89,8.19,7.58,5.61,5.85,6.02,6.10,6.32,4.76,6.59,5.88,5.29,4.11,5.85,7.09,6.80,7.93,7.82,6.98,4.18,5.34,7.50,8.16,10.41,9.95,7.09,6.92,9.32,13.35,8.32,11.76,16.67,16.48,19.46,17.07,14.84,20.10,16.03,17.58,20.10
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,20.00,0.00,0.00,16.67,16.67,16.67,16.67,0.00,11.11,10.00,9.09,7.14,12.50,11.76,12.50,11.76,12.50,11.76
Burma,57.14,64.29,60.00,62.50,55.56,50.00,47.62,45.45,42.86,45.83,50.00,46.15,51.72,51.52,45.71,41.03,42.11,39.53,23.08,22.73,38.78,40.00,44.00,41.51,44.44,51.72,55.00,58.06,62.50,76.47,68.92,77.08,73.83,73.77,64.29,60.51,56.57,54.46,57.02,45.83,47.83,41.96
Burundi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,66.67,66.67,66.67,66.67
CÃ´te dâ€™Ivoire,76.47,94.44,89.47,55.00,25.00,68.42,60.00,50.00,54.55,52.00,59.09,66.67,62.50,52.38,50.00,60.00,56.25,48.72,35.90,36.96,36.96,38.30,33.33,36.73,33.33,26.42,28.30,33.96,34.55,38.18,28.57,31.03,26.87,22.22,24.36,16.05,16.85,20.00,30.53,34.65,32.08,30.00
Cabo Verde,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.46,58.82,63.33,47.62,49.09,41.18,60.00,50.59,52.94,51.72
Cameroon,100.00,100.00,95.24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.97,97.22,95.12,94.87,88.64,76.00,76.36,71.43,73.68,75.86,79.25,70.49,65.15,55.84,62.32,64.56,60.24,64.29,66.27,62.50
Canada,68.48,69.55,67.99,66.75,66.98,67.41,67.61,65.08,62.32,60.00,63.54,62.42,62.72,62.74,61.60,62.13,64.16,63.44,61.54,62.23,61.73,59.16,61.03,60.14,59.62,60.79,60.88,61.27,62.60,63.87,62.89,64.16,65.14,65.36,64.78,65.26,66.05,67.75,67.45,67.46,69.07,68.32
Cayman Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Chad,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,62.71,63.64,71.67,72.22,70.90,75.86,78.43,78.43,70.18,56.00,63.41,68.63,84.51,83.33,77.87,74.73,66.67,60.61,48.57,38.89,51.28,56.10,57.14,51.11,48.00,54.90,56.60,45.61,47.37,50.00,41.38,41.27,37.88,37.14,43.48,44.44,44.16,44.16,46.91,46.91,49.38,48.24
China,20.28,22.11,23.72,25.67,23.96,23.33,21.96,20.97,20.85,21.08,21.19,19.28,18.17,18.73,18.84,19.67,18.59,18.24,18.59,18.26,17.42,19.48,18.18,15.69,16.83,16.77,16.12,15.73,18.47,18.65,19.64,17.73,21.04,21.39,23.81,25.00,25.87,25.95,26.91,28.10,29.13,28.95
Colombia,74.63,73.53,70.31,68.18,70.47,73.83,76.69,70.74,75.30,78.26,77.56,75.21,69.70,74.67,79.21,76.19,81.63,71.11,68.89,78.52,76.37,76.19,77.45,79.47,82.30,80.97,81.44,82.42,84.84,73.21,71.93,83.76,80.33,70.83,71.01,64.47,66.67,80.52,76.25,70.51,66.23,75.00
Comoros,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Congo-Brazzaville,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,60.00,57.14,61.54,58.82,58.82,56.25,40.74,39.29,41.38,36.67,22.22,23.68,22.50
Congo-Kinshasa,95.45,95.35,97.62,97.78,97.87,98.04,98.11,98.11,98.11,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,94.74,86.96,89.80,84.62,83.33,91.49,96.43,92.45,98.36,100.00,100.00,98.65,98.61,100.00,96.34,94.19,92.22,93.55,95.65,93.68,91.75,92.08,89.11,90.10,99.10,98.21,100.00,99.10,100.00,100.00,100.00
Croatia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,47.78,61.25,60.47,69.90,55.91,51.43,55.08,56.86,55.56,45.30,40.00,54.33,52.94,50.42,36.52,44.44,54.92,63.89,48.15,50.98,67.65,74.81,68.52,68.03,62.28,73.48,67.74,66.41,70.42
Cuba,9.71,9.26,9.09,9.09,9.09,9.09,9.09,7.80,8.50,8.50,10.96,11.29,11.29,9.09,7.56,6.78,7.69,7.69,6.98,7.14,7.14,7.14,6.67,5.41,6.04,3.45,3.23,3.03,4.19,4.19,3.61,3.61,3.95,5.56,5.03,4.76,4.76,4.04,4.04,4.52,4.76,4.52
Cyprus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,6.67,7.50,7.32,9.30,8.70,8.51,10.20,10.20,12.77,16.33
Czechia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,3.46,4.11,3.81,3.59,3.23,4.13,3.65,3.87,4.43,2.41,3.43,4.02,4.46,4.08,4.70,5.93,7.57,9.09,10.11,11.73,11.62,12.58,12.30,12.17,11.69,12.50,13.51,12.99
Denmark,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.74,1.19,2.33,3.61,3.23,5.08,5.66,5.26,6.16,4.76,7.80,10.94,13.28,17.89,18.08,19.79,19.91,26.32,31.43,23.26,28.95,31.43,31.43,34.21,42.86,51.61,50.00,59.38,68.26,63.33,73.25,70.00,80.00,83.04,78.31
Djibouti,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominican Republic,18.75,24.32,25.00,25.71,14.63,25.58,19.57,22.22,20.93,18.18,11.43,16.22,15.00,23.08,12.50,11.76,14.29,10.29,10.96,12.94,9.88,8.16,8.33,10.57,15.18,16.67,14.06,13.04,13.04,13.04,11.11,10.96,12.50,12.79,10.18,7.51,10.53,15.34,13.71,11.92,17.16,16.67
Ecuador,28.13,22.22,23.08,41.46,76.19,80.85,82.69,84.91,85.45,85.96,79.03,73.53,70.00,79.45,81.25,62.20,69.23,69.15,65.31,71.00,72.82,65.42,64.66,63.39,55.73,56.56,52.59,59.64,61.45,52.22,46.81,56.12,55.30,50.00,50.00,53.85,59.26,72.99,72.41,77.88,79.62,80.50
Egypt,53.01,50.00,51.02,45.45,34.26,25.00,23.30,22.04,21.79,20.84,23.63,20.00,19.54,21.28,22.00,21.15,21.57,21.43,20.00,23.08,18.92,20.00,15.29,15.38,13.54,12.62,12.73,14.29,12.80,10.61,9.38,9.55,9.09,8.93,9.09,8.60,8.42,8.12,9.00,10.77,11.11,11.39
El Salvador,100.00,93.75,100.00,93.75,100.00,88.89,94.12,80.00,85.00,90.48,90.48,68.42,70.00,64.00,57.14,57.58,69.70,54.29,54.05,64.86,52.63,55.26,53.85,59.52,55.81,59.57,57.14,56.90,61.67,55.93,65.00,62.30,60.32,60.32,59.68,58.33,58.33,74.55,77.36,70.49,84.13,84.62
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,36.36,38.46,35.71,30.77,30.77,28.57,35.71,28.57
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,1.10,0.90,2.00,6.10,8.33,9.84,14.02,10.57,13.39,17.20,15.89,16.52,18.75,31.88,44.07,47.76
Eswatini,50.00,33.33,0.00,0.00,33.33,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,57.14,57.14,57.14,50.00,60.00,66.67,50.00,57.14,50.00,57.14,57.14,57.14,57.14,62.50,66.67,50.00,50.00,57.14,62.50,57.14,62.50,57.14
Ethiopia,71.43,71.43,75.00,75.00,77.78,87.50,88.89,81.82,83.33,83.33,91.67,91.67,100.00,86.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,94.44,89.19,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,33.33,33.33,0.00,33.33,33.33,33.33,66.67,66.67,66.67,50.00,50.00,50.00,50.00,40.00
Fiji,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,80.00,80.00,83.33,80.00,83.33,83.33,83.33,75.00,57.14,62.50,57.14,55.56,66.67,66.67,66.67,55.56,62.50,66.67,66.67,55.56,50.00,55.56,54.55,63.64,58.33,63.64,63.64
Finland,25.91,35.00,32.50,32.50,30.23,25.53,25.53,26.92,30.23,25.49,28.07,29.51,36.36,32.76,29.03,31.15,26.87,30.77,36.76,31.82,34.85,30.56,27.78,23.46,31.33,34.33,28.21,30.77,37.33,31.43,30.77,34.29,42.03,37.14,39.39,46.27,46.27,48.48,47.06,47.76,53.49,53.24
Former Czechoslovakia,6.64,6.06,5.25,5.41,4.30,5.56,4.94,6.06,5.34,4.99,4.76,3.92,4.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Former Serbia and Montenegro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.43,31.25,33.33,33.33,35.90,33.33,36.11,40.63,36.36,36.36,35.29,28.99,30.56,34.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Former U.S.S.R.,14.22,14.78,12.79,12.70,13.61,13.27,14.11,13.81,14.21,13.45,14.12,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Former Yugoslavia,49.12,42.88,38.72,34.54,37.04,33.33,36.00,33.68,32.54,29.30,25.19,25.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
France,27.60,27.48,26.42,24.56,21.24,19.08,18.08,19.66,20.22,12.47,13.85,13.69,16.14,14.92,17.66,15.99,13.84,13.81,13.40,15.29,13.87,15.16,12.31,11.96,11.97,10.44,11.56,12.41,13.74,13.95,14.60,12.48,15.96,18.20,17.46,16.85,18.77,17.60,20.76,21.28,25.05,23.12
French Guiana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,77.78,77.78,70.00,63.64,63.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
French Polynesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,33.33,50.00,0.00,25.00,20.00,20.00,33.33,33.33,33.33,33.33,33.33,28.57,28.57,42.86,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,28.57,33.33,28.57
Gabon,50.00,66.67,71.43,71.43,75.00,77.78,77.78,77.78,77.78,77.78,70.00,70.00,70.00,63.64,70.00,66.67,66.67,66.67,61.54,61.54,61.54,64.29,64.29,60.00,60.00,53.33,56.25,47.06,50.00,50.00,47.37,42.11,42.86,45.00,42.11,45.00,43.48,40.91,40.91,43.48,45.45,43.48
"Gambia, The",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Georgia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.66,69.15,77.01,77.61,84.29,84.51,79.75,81.01,79.45,80.88,93.06,91.55,88.24,86.11,73.61,82.93,85.54,86.90,93.00,78.00,75.79,82.83,81.37,79.25,81.42,81.42,83.19,76.72,74.77,80.65
